Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.519	| 0.526	| 0.523	| 5234	|
| NT "NP-SBJ"	| 0.329	| 0.408	| 0.364	| 4557	|
| NT "NP-SBJ-1"	| 0.308	| 0.023	| 0.043	| 687	|
| SHIFT	| 0.523	| 0.523	| 0.523	| 60548	|
| NT "NP"	| 0.296	| 0.319	| 0.307	| 13918	|
| REDUCE	| 0.511	| 0.504	| 0.507	| 47333	|
| NT "PP"	| 0.218	| 0.240	| 0.229	| 3069	|
| NT "VP"	| 0.325	| 0.351	| 0.337	| 8754	|
| NT "ADJP-PRD"	| 0.142	| 0.105	| 0.120	| 439	|
| NT "ADVP"	| 0.232	| 0.198	| 0.213	| 587	|
| ERROR	| 0.000	| 0.000	| 0.000	| 2998	|
| NT "NP-TMP"	| 0.127	| 0.107	| 0.116	| 272	|
| NT "PP-CLR"	| 0.100	| 0.190	| 0.131	| 499	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-LOC"	| 0.148	| 0.149	| 0.148	| 817	|
| NT "ADVP-TMP"	| 0.184	| 0.113	| 0.140	| 432	|
| NT "NP-PRD"	| 0.204	| 0.204	| 0.204	| 401	|
| NT "ADJP"	| 0.172	| 0.036	| 0.059	| 449	|
| NT "SBAR"	| 0.312	| 0.295	| 0.303	| 1509	|
| NT "WHNP-1"	| 0.181	| 0.214	| 0.196	| 308	|
| NT "WHNP-2"	| 0.190	| 0.177	| 0.183	| 130	|
| NT "WHNP-3"	| 1.000	| 0.000	| 0.000	| 43	|
| NT "PP-LOC-CLR"	| 1.000	| 0.000	| 0.000	| 62	|
| NT "QP"	| 0.239	| 0.176	| 0.202	| 490	|
| NT "ADVP-MNR"	| 0.000	| 0.000	| 0.000	| 155	|
| NT "PP-DIR"	| 0.222	| 0.083	| 0.121	| 217	|
| NT "PP-TMP"	| 0.208	| 0.143	| 0.170	| 551	|
| NT "WHNP-4"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "NP-SBJ-2"	| 1.000	| 0.000	| 0.000	| 243	|
| NT "S-ADV"	| 0.366	| 0.333	| 0.349	| 147	|
| NT "S-TPC-1"	| 0.219	| 0.047	| 0.078	| 148	|
| NT "S-NOM"	| 0.208	| 0.182	| 0.194	| 148	|
| NT "NP-LGS"	| 0.275	| 0.301	| 0.287	| 163	|
| NT "PRT"	| 0.188	| 0.220	| 0.203	| 159	|
| NT "ADVP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "PP-LOC-3"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "ADVP-TMP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-TMP=4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S-PRP"	| 0.055	| 0.100	| 0.071	| 60	|
| NT "NX"	| 1.000	| 0.000	| 0.000	| 115	|
| NT "SINV"	| 1.000	| 0.000	| 0.000	| 157	|
