Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 286	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 108	|
| NT "(S[dcl]\\S[dcl])	| 1.000	| 0.000	| 0.000	| 121	|
| NT "(S[adj]\\NP)\\NP	| 1.000	| 0.000	| 0.000	| 26	|
| NT "((S[adj]\\NP)\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 299	|
| NT "S/S"	| 1.000	| 0.000	| 0.000	| 961	|
| NT "(S/S)/S[dcl]"	| 1.000	| 0.000	| 0.000	| 109	|
| NT "(NP\\NP)/(S[dcl]	| 1.000	| 0.000	| 0.000	| 320	|
| NT "S\\S"	| 1.000	| 0.000	| 0.000	| 91	|
| NT "(S\\S)/NP"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "(S\\NP)\\(S\\NP)	| 1.000	| 0.000	| 0.000	| 46	|
| NT "(S[b]\\NP)/(S[ps	| 1.000	| 0.000	| 0.000	| 101	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 208	|
| NT "(S[b]\\NP)/(S[ng	| 1.000	| 0.000	| 0.000	| 39	|
| NT "(NP\\NP)/S[dcl]"	| 1.000	| 0.000	| 0.000	| 83	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 411	|
| NT "S[pt]\\NP"	| 1.000	| 0.000	| 0.000	| 595	|
| NT "(S[pt]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 158	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 25	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 189	|
| NT "(S[pss]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 32	|
| NT "(S[b]\\NP)/(S[to	| 1.000	| 0.000	| 0.000	| 78	|
| NT "(S[b]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 178	|
