Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "NP"	| 0.671	| 0.813	| 0.735	| 17892	|
| NT "N"	| 0.520	| 0.459	| 0.488	| 9676	|
| SHIFT	| 0.775	| 0.865	| 0.817	| 55371	|
| REDUCE	| 0.996	| 0.999	| 0.997	| 60717	|
| NT "S[dcl]"	| 0.945	| 0.915	| 0.930	| 7472	|
| NT "N/N"	| 0.909	| 0.018	| 0.035	| 561	|
| NT "N/N[conj]"	| 1.000	| 0.000	| 0.000	| 51	|
| NT "S[dcl]\\NP"	| 0.940	| 0.795	| 0.862	| 5273	|
| NT "NP\\NP"	| 0.796	| 0.874	| 0.833	| 3916	|
| NT "(S\\NP)\\(S\\NP)	| 0.644	| 0.719	| 0.679	| 2386	|
| NT "S[dcl]\\NP[conj]	| 1.000	| 0.000	| 0.000	| 143	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 222	|
| NT "S[b]\\NP"	| 0.919	| 0.678	| 0.780	| 1997	|
| NT "NP[conj]"	| 0.593	| 0.169	| 0.264	| 1051	|
| NT "S[pss]\\NP"	| 0.466	| 0.217	| 0.296	| 788	|
| NT "N[num]"	| 0.751	| 0.672	| 0.709	| 256	|
| NT "N\\N"	| 1.000	| 0.000	| 0.000	| 107	|
| NT "(NP\\NP)/(NP\\NP	| 1.000	| 0.000	| 0.000	| 14	|
| NT "((NP\\NP)/(NP\\N	| 1.000	| 0.000	| 0.000	| 8	|
| NT "S[ng]\\NP"	| 0.496	| 0.080	| 0.138	| 875	|
| NT "PP"	| 0.507	| 0.392	| 0.442	| 921	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S[adj]\\NP"	| 0.270	| 0.021	| 0.038	| 487	|
| NT "S[dcl][conj]"	| 0.763	| 0.913	| 0.832	| 254	|
| NT "NP[nb]/N"	| 1.000	| 0.000	| 0.000	| 566	|
| NT "S[em]"	| 1.000	| 0.000	| 0.000	| 283	|
| NT "(S[dcl]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "S[pt]\\NP"	| 0.795	| 0.592	| 0.678	| 524	|
| NT "S[dcl]\\S[dcl]"	| 0.891	| 0.924	| 0.907	| 591	|
| NT "(S[adj]\\NP)\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S/S"	| 1.000	| 0.029	| 0.056	| 621	|
| NT "S\\S"	| 1.000	| 0.000	| 0.000	| 67	|
| NT "(S\\NP)\\(S\\NP)	| 1.000	| 0.000	| 0.000	| 46	|
| NT "S[to]\\NP"	| 0.722	| 0.207	| 0.322	| 776	|
| NT "(S[ng]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 50	|
| NT "(N/N)/(N/N)"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "N[conj]"	| 1.000	| 0.000	| 0.000	| 215	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 54	|
| NT "S[dcl]\\NP[expl]	| 1.000	| 0.000	| 0.000	| 29	|
