Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S[dcl]"	| 0.743	| 0.722	| 0.732	| 7472	|
| NT "NP"	| 0.304	| 0.305	| 0.305	| 19133	|
| NT "N"	| 0.230	| 0.258	| 0.243	| 21941	|
| NT "S/S"	| 0.631	| 0.625	| 0.628	| 961	|
| NT "N/N"	| 0.177	| 0.215	| 0.194	| 9473	|
| SHIFT	| 0.302	| 0.302	| 0.302	| 55371	|
| REDUCE	| 0.521	| 0.544	| 0.532	| 116088	|
| NT ","	| 0.214	| 0.215	| 0.214	| 3047	|
| NT "S[dcl]\\NP"	| 0.205	| 0.314	| 0.248	| 5584	|
| NT "N\\N"	| 0.042	| 0.028	| 0.034	| 177	|
| NT "S[dcl]\\S[dcl]"	| 0.033	| 0.036	| 0.034	| 591	|
| NT "."	| 0.315	| 0.306	| 0.310	| 2352	|
| NT "NP[nb]/N"	| 0.286	| 0.257	| 0.271	| 5461	|
| NT "(S[dcl]\\NP)/NP"	| 0.090	| 0.119	| 0.103	| 1042	|
| NT "N/N[conj]"	| 1.000	| 0.000	| 0.000	| 51	|
| NT "conj"	| 0.147	| 0.115	| 0.129	| 1162	|
| NT "NP\\NP"	| 0.111	| 0.131	| 0.120	| 4081	|
| NT "(NP\\NP)/NP"	| 0.164	| 0.160	| 0.162	| 2600	|
| NT "S[to]\\NP"	| 0.202	| 0.197	| 0.199	| 778	|
| NT "(S[to]\\NP)/(S[b	| 0.201	| 0.193	| 0.197	| 791	|
| NT "S[b]\\NP"	| 0.188	| 0.252	| 0.215	| 2217	|
| NT "(S[b]\\NP)/NP"	| 0.109	| 0.111	| 0.110	| 853	|
| NT "S[b]\\NP[conj]"	| 0.040	| 0.075	| 0.052	| 53	|
| NT "S[dcl]\\NP[conj]	| 0.023	| 0.042	| 0.029	| 143	|
| NT "(S[dcl]\\NP)/(S[	| 0.508	| 0.333	| 0.402	| 872	|
| NT "(S\\NP)\\(S\\NP)	| 0.066	| 0.100	| 0.079	| 3425	|
